Mineral,(Mg+Fe)/Al,(Mg+Fe)/Si,(Ca+Na)/Al,K/(K+Na+Ca),K/(Al+Si),Al/Si,Fe/Si,Ca/Si,K/Si,K/Al,Ca/Na,P/Ca,Ti/Fe,Mg/Al,|Na|,|Mg|,|Al|,|Si|,|P|,|K|,|Ca|,|Ti|,|Fe|
Ab,0.003516401,0.001208822,0.469458313,0.098095032,0.013062407,0.343766725,0.001206976,0.006300637,0.017552828,0.051060289,0.04062738,0.028119508,4.9617737,5.36855E-06,0.101356575,1.20617E-06,0.224672616,0.653561267,0.000115792,0.011471849,0.004117852,0.00391401,0.000788833
Ab,0.002547536,0.000875467,0.502216316,0.095883453,0.013622055,0.343652511,0.000874062,0.004717405,0.018303308,0.053261092,0.028101457,0.325886208,4.453376206,4.08914E-06,0.108946748,9.11994E-07,0.223028019,0.64899284,0.000997721,0.011878716,0.003061562,0.002526222,0.00056726
Ab,0.00182787,0.000640598,0.62059,0.070651398,0.012243478,0.35046128,0.000639361,0.002657614,0.016534342,0.0471788,0.012370481,1.186133085,2.059961315,3.52871E-06,0.13515059,7.77979E-07,0.220471596,0.629089741,0.00198307,0.010401585,0.001671878,0.000828548,0.000402215
Ab,0.005816465,0.002061446,0.628454276,0.063665568,0.011181711,0.354415664,0.002060029,0.00093715,0.015144684,0.042731419,0.004225262,2.213313162,0.23193393,4.00032E-06,0.138891478,8.87826E-07,0.22193871,0.626210218,0.001298889,0.009483756,0.000586853,0.000299197,0.001290011
Ab,0.015728186,0.005608596,0.684419335,0.079019281,0.015435832,0.356595221,0.00030108,0.003465219,0.020940176,0.058722536,0.01440268,2.180878553,5.037174721,0.014883867,0.147038202,0.003243651,0.217930644,0.611142918,0.004618543,0.01279744,0.002117744,0.000926855,0.000184003
Ab,0.000892122,0.000312669,0.616512493,0.066666667,0.011428449,0.350478234,0.000311516,0.000343821,0.015433872,0.044036607,0.001593753,7.55704698,0.340740741,3.29196E-06,0.136107209,7.27924E-07,0.22112144,0.630913472,0.001639285,0.009737438,0.000216921,6.6969E-05,0.000196539
Ab,0.001698194,0.000584233,0.483455145,0.111709411,0.015562525,0.344031948,0.000581768,0.004885865,0.020916531,0.060798223,0.030264625,0.101917255,7.923728814,7.16538E-06,0.10503701,1.60389E-06,0.223838585,0.650633135,0.000323985,0.013608988,0.003178906,0.00299927,0.000378518
Ab,0.002404819,0.000823582,0.515995181,0.08732973,0.012595434,0.342471406,0.000821931,0.004603146,0.01690901,0.049373494,0.026745301,0.241663679,5.032128514,4.81928E-06,0.111603058,1.07022E-06,0.222071677,0.648438595,0.000721332,0.010964455,0.002984857,0.002681984,0.000532972
Ab,0.002002841,0.000837325,0.449038826,0.059128744,0.008319607,0.418068807,0.000720535,0.000411734,0.011797775,0.028219697,0.002198058,0.836538462,0.552197802,0.000279356,0.11568691,7.21293E-05,0.2581986,0.617598337,0.00021272,0.007286286,0.000254287,0.000245729,0.000445001
Ab,0.004819533,0.001706565,0.71455869,0.062775988,0.012515764,0.354093501,0.000279237,0.000440335,0.016947514,0.047861692,0.001743346,12.34634146,0.026923077,0.004030937,0.154842057,0.000875011,0.217073842,0.613041022,0.003332811,0.010389521,0.000269943,4.60879E-06,0.000171183
Ab,0.013979112,0.004940636,0.658227757,0.073254539,0.013586819,0.353429905,0.000300624,0.00293267,0.018388807,0.052029573,0.012767132,2.233131488,1.696202532,0.013128522,0.142103929,0.002870485,0.218644971,0.618637438,0.00405148,0.011376005,0.00181426,0.000315455,0.000185977
Ab,0.049189549,0.018303551,0.804082497,0.09108498,0.021852447,0.372102444,0.000582887,0.006542287,0.029983796,0.080579412,0.02235466,3.770553836,4.277992278,0.04762308,0.167544502,0.01014492,0.213025284,0.572490955,0.014122234,0.017165452,0.0037454,0.001427555,0.000333698
Ab,0.00160377,0.000565187,0.629964324,0.059965519,0.010471642,0.352411271,0.000521356,0.00161828,0.014161966,0.040185906,0.007342859,2.125445474,0.07079646,0.000124374,0.138380813,2.75212E-05,0.221277489,0.627895608,0.002159688,0.008892236,0.001016111,2.31757E-05,0.000327357
Ab,0.003708182,0.001290403,0.621451924,0.047519683,0.008003931,0.347988031,0.000282081,0.000956893,0.010789203,0.031004523,0.004444444,2.851791531,1.624309392,0.002897577,0.136308473,0.000638376,0.220313564,0.633106728,0.001727659,0.006830717,0.000605815,0.000290081,0.000178587
Ab,0.0015822,0.000550471,0.611530284,0.073452846,0.012513241,0.34791509,0.000548751,0.005525356,0.016866786,0.048479604,0.02666224,0.395392279,4.677115987,4.94438E-06,0.130925871,1.08679E-06,0.219803747,0.631774112,0.001380226,0.010655999,0.003490777,0.001621494,0.000346687
Ab,0.0030156,0.001028543,0.490311473,0.102732533,0.014277563,0.341074098,0.001026763,0.006141006,0.01914727,0.056138154,0.038121224,0.12605042,6.05372617,5.2173E-06,0.104913348,1.15892E-06,0.222129766,0.651265422,0.000504129,0.012469955,0.003999425,0.0040481,0.000668696
Ap,55.73913043,0.659465021,16987.78261,0,0,0.011831276,0.136316872,195.2366255,0,0,33.95115842,0.82742267,4.879245283,44.2173913,0.015760587,0.001433806,3.24263E-05,0.002740726,0.442745745,0,0.53509018,0.001822921,0.000373607
Ap,65535,0.196877122,65535,0,0,0,0.196877122,332.0977597,0,,144.7278107,0.796353081,4.517241379,,0.003818376,0,0,0.001664044,0.440084818,0,0.552625247,0.001479903,0.000327612
Ap,0.504464286,0.290115533,232.2209821,0,0,0.575096277,0.290115533,133.3504493,0,0,670.1935484,0.743733154,2.097345133,0,0.000845973,0,0.002445135,0.004251696,0.421671097,0,0.566965577,0.00258704,0.001233483
Ap,1.236111111,0.087454962,1846.486111,0,0,0.070750082,0.065181788,129.8722568,0,0,169.3720632,0.800605296,5.829145729,0.314814815,0.003246983,9.43165E-05,0.000299593,0.004234532,0.440291438,0,0.549948195,0.001608928,0.000276014
Ap,0,0,4262.725191,0,0,0.064915758,0,275.7135778,0,0,274.4893932,0.82018009,65535,0,0.001991382,0,0.000128698,0.00198254,0.448321325,0,0.546613275,0.00096278,0
Ap,1.210663879,1.191664523,48.07631992,3.26183E-05,0.000777907,0.984306663,0.037303833,45.08361204,0.001543607,0.001568217,20.14252874,0.814368866,4.013793103,1.17276529,0.025619657,0.013213265,0.01126676,0.011446392,0.420250719,1.76687E-05,0.516044678,0.001713867,0.000426994
Ap,0.355186349,0.176997091,77.71935339,0.000681297,0.017622461,0.498321772,0.019019915,38.34638622,0.026404117,0.05298608,100.1578025,0.78555173,6.529411765,0.31701841,0.00541694,0.00223516,0.00705057,0.014148629,0.426200132,0.000373582,0.542548779,0.001757102,0.000269106
Ap,1.43220339,3.017857143,816.6271186,0.017566396,9.902298851,2.107142857,3.017857143,1720.75,30.76785714,14.60169492,65535,0.284043503,1.171597633,0,0,0,0.00093653,0.000444455,0.217235331,0.013674929,0.764795987,0.001571466,0.001341302
Ap,65535,0.006511123,65535,1.85439E-06,0.000542594,0,0.006511123,292.5990233,0.000542594,65535,65535,0.738882914,69.83333333,,0,0,0,0.001959796,0.423700877,1.06337E-06,0.573434396,0.000891106,1.27605E-05
Ap,65535,0.075274725,65535,0,0,0,0.074725275,276.8186813,0,,91.28646494,0.815684484,11.54411765,65535,0.005974198,1.08248E-06,0,0.001970111,0.44484448,0,0.54536342,0.001699491,0.000147217
Ap,65535,65535,65535,0.004692439,65535,,65535,65535,65535,65535,65535,0.220949225,1.274247492,,0,0,0,0,0.179875317,0.003838137,0.814102502,0.001223707,0.000960337
Ap,65535,0.009254975,65535,0,0,0,0.009254975,250.5043961,0,,2506.203704,0.761702442,48.25,,0.000225695,0,0,0.002257999,0.430848385,0,0.565638708,0.001008315,2.08977E-05
Ap,65535,0.026938776,65535,0.001481629,0.508571429,0,0.026938776,342.7428571,0.508571429,65535,65535,0.614371457,22.90909091,,0,0,0,0.001800287,0.37908904,0.000915575,0.617035566,0.001111034,4.84975E-05
Ap,65535,0.056122449,65535,0.000643322,1.397959184,0,0.056122449,2171.632653,1.397959184,65535,65535,0.531834414,69.63636364,,0,0,0,0.000300035,0.346525181,0.000419437,0.651565923,0.001172586,1.68387E-05
Ap,0.695970696,0.056430056,1385.78022,0,0,0.081081081,0.056430056,112.3195723,0,0,2740.434783,0.752260828,5.168421053,0,0.000206704,0,0.000408915,0.005043288,0.42612564,0,0.566459962,0.001470897,0.000284593
Ap,65535,0.049093445,65535,2.32964E-05,0.00306834,0,0.049093445,131.6736402,0.00306834,65535,4104.782609,0.699036119,6.017045455,,0.000142507,0,0,0.004442511,0.408909311,1.36311E-05,0.584961635,0.001312307,0.000218098
Ap,65535,3.413793103,65535,0.003289359,29.20689655,0,3.413793103,8850,29.20689655,65535,65535,0.508630431,6.02020202,,0,0,0,7.4596E-05,0.335784711,0.002178716,0.660174246,0.001533076,0.000254655
Ap,0.27826087,0.033257119,782.3217391,0,0,0.119517772,0.033257119,93.18229058,0,0,292.0521173,0.787999108,6.325,0,0.001895874,0,0.000710181,0.005942052,0.43631037,0,0.55369399,0.001249918,0.000197616
Ap,0,0,7839.871429,0,0,0.030946065,0,241.1892131,0,0,169.3790748,0.82152611,65535,0,0.003219001,0,6.99566E-05,0.002260596,0.447921841,0,0.545231411,0.001297194,0
Ap,9.96969697,0.151264368,15041.66667,0,0,0.015172414,0.151264368,227.5586207,0,0,344.9059233,0.798743282,3.504559271,0,0.001602645,0,3.68552E-05,0.002429096,0.441514639,0,0.55276163,0.0012877,0.000367436
Ap,0,0,3551.484076,8.78716E-05,0.017156863,0.058169692,0,206.587625,0.018154872,0.312101911,185860,0.769952294,65535,0,3.02887E-06,0,0.000158511,0.002724972,0.433441127,4.94715E-05,0.562945433,0.000677457,0
