MINERAL,GROUP,F,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,Cr,Mn,Fe
Chlorite,Clay,8.783783784,1.351351351,31.75675676,21.62162162,24.32432432,0,0.675675676,0,0,0,0,0,0,11.48648649
Chlorite,Clay,2.884615385,0,33.65384615,23.07692308,24.03846154,0,0,0,0,0,0,0,0,16.34615385
Chlorite,Clay,5.555555556,1.111111111,33.33333333,22.22222222,24.44444444,0,0,0,0,0,0,0,0,13.33333333
Chlorite,Clay,22.10526316,4.210526316,26.31578947,16.84210526,18.94736842,1.052631579,1.052631579,0,0,1.052631579,0,0,0,8.421052632
Chlorite,Clay,17.46031746,3.174603175,28.57142857,19.04761905,20.63492063,0,0,0,0,0,0,0,0,11.11111111
Chlorite,Clay,5.555555556,0,33.33333333,23.14814815,23.14814815,0,0,0,0,0,0,0,0,14.81481481
Chlorite,Clay,4.12371134,0,32.98969072,23.71134021,23.71134021,0,0,0,0,0,0,0,0,15.46391753
Chlorite,Clay,10.89108911,1.98019802,31.68316832,21.78217822,21.78217822,0,0,0,0,0,0,0,0,11.88118812
Chlorite,Clay,1.075268817,0,31.1827957,22.58064516,25.80645161,0,0,0,0,0,0,0,0,19.35483871
Chlorite,Clay,9,2,33,22.5,22,0.5,0.5,0,0,0,0,0,0,10.5
Chlorite,Clay,4.87804878,0,34.14634146,21.95121951,24.3902439,0,0,0,0,0,0,0,0,14.63414634
