Mineral,(Mg+Fe)/Al,(Mg+Fe)/Si,(Ca+Na)/Al,K/(K+Na+Ca),K/(Al+Si),Al/Si,Fe/Si,Ca/Si,K/Si,K/Al,Ca/Na,P/Ca,Ti/Fe,Mg/Al,|Na|,|Mg|,|Al|,|Si|,|P|,|K|,|Ca|,|Ti|,|Fe|
Albite,0.00254754,0.00087547,0.50221632,0.09588345,0.01362206,0.34365251,0.00087406,0.00471741,0.01830331,0.05326109,0.02810146,0.32588621,4.45337621,0.00000409,0.10894675,0.00000091,0.22302802,0.64899284,0.00099772,0.01187872,0.00306156,0.00252622,0.00056726
Albite,0.00182787,0.00064060,0.62059000,0.07065140,0.01224348,0.35046128,0.00063936,0.00265761,0.01653434,0.04717880,0.01237048,1.18613309,2.05996132,0.00000353,0.13515059,0.00000078,0.22047160,0.62908974,0.00198307,0.01040159,0.00167188,0.00082855,0.00040222
Albite,0.00581647,0.00206145,0.62845428,0.06366557,0.01118171,0.35441566,0.00206003,0.00093715,0.01514468,0.04273142,0.00422526,2.21331316,0.23193393,0.00000400,0.13889148,0.00000089,0.22193871,0.62621022,0.00129889,0.00948376,0.00058685,0.00029920,0.00129001
Albite,0.01572819,0.00560860,0.68441934,0.07901928,0.01543583,0.35659522,0.00030108,0.00346522,0.02094018,0.05872254,0.01440268,2.18087855,5.03717472,0.01488387,0.14703820,0.00324365,0.21793064,0.61114292,0.00461854,0.01279744,0.00211774,0.00092686,0.00018400
Albite,0.00089212,0.00031267,0.61651249,0.06666667,0.01142845,0.35047823,0.00031152,0.00034382,0.01543387,0.04403661,0.00159375,7.55704698,0.34074074,0.00000329,0.13610721,0.00000073,0.22112144,0.63091347,0.00163929,0.00973744,0.00021692,0.00006697,0.00019654
Albite,0.00169819,0.00058423,0.48345515,0.11170941,0.01556253,0.34403195,0.00058177,0.00488587,0.02091653,0.06079822,0.03026463,0.10191726,7.92372881,0.00000717,0.10503701,0.00000160,0.22383859,0.65063314,0.00032399,0.01360899,0.00317891,0.00299927,0.00037852
Albite,0.00240482,0.00082358,0.51599518,0.08732973,0.01259543,0.34247141,0.00082193,0.00460315,0.01690901,0.04937349,0.02674530,0.24166368,5.03212851,0.00000482,0.11160306,0.00000107,0.22207168,0.64843860,0.00072133,0.01096446,0.00298486,0.00268198,0.00053297
Albite,0.00200284,0.00083733,0.44903883,0.05912874,0.00831961,0.41806881,0.00072054,0.00041173,0.01179778,0.02821970,0.00219806,0.83653846,0.55219780,0.00027936,0.11568691,0.00007213,0.25819860,0.61759834,0.00021272,0.00728629,0.00025429,0.00024573,0.00044500
Albite,0.00481953,0.00170657,0.71455869,0.06277599,0.01251576,0.35409350,0.00027924,0.00044034,0.01694751,0.04786169,0.00174335,12.34634146,0.02692308,0.00403094,0.15484206,0.00087501,0.21707384,0.61304102,0.00333281,0.01038952,0.00026994,0.00000461,0.00017118
Albite,0.01397911,0.00494064,0.65822776,0.07325454,0.01358682,0.35342991,0.00030062,0.00293267,0.01838881,0.05202957,0.01276713,2.23313149,1.69620253,0.01312852,0.14210393,0.00287049,0.21864497,0.61863744,0.00405148,0.01137601,0.00181426,0.00031546,0.00018598
Albite,0.04918955,0.01830355,0.80408250,0.09108498,0.02185245,0.37210244,0.00058289,0.00654229,0.02998380,0.08057941,0.02235466,3.77055384,4.27799228,0.04762308,0.16754450,0.01014492,0.21302528,0.57249096,0.01412223,0.01716545,0.00374540,0.00142756,0.00033370
Albite,0.00160377,0.00056519,0.62996432,0.05996552,0.01047164,0.35241127,0.00052136,0.00161828,0.01416197,0.04018591,0.00734286,2.12544547,0.07079646,0.00012437,0.13838081,0.00002752,0.22127749,0.62789561,0.00215969,0.00889224,0.00101611,0.00002318,0.00032736
Albite,0.00370818,0.00129040,0.62145192,0.04751968,0.00800393,0.34798803,0.00028208,0.00095689,0.01078920,0.03100452,0.00444444,2.85179153,1.62430939,0.00289758,0.13630847,0.00063838,0.22031356,0.63310673,0.00172766,0.00683072,0.00060582,0.00029008,0.00017859
Albite,0.00158220,0.00055047,0.61153028,0.07345285,0.01251324,0.34791509,0.00054875,0.00552536,0.01686679,0.04847960,0.02666224,0.39539228,4.67711599,0.00000494,0.13092587,0.00000109,0.21980375,0.63177411,0.00138023,0.01065600,0.00349078,0.00162149,0.00034669
Albite,0.00301560,0.00102854,0.49031147,0.10273253,0.01427756,0.34107410,0.00102676,0.00614101,0.01914727,0.05613815,0.03812122,0.12605042,6.05372617,0.00000522,0.10491335,0.00000116,0.22212977,0.65126542,0.00050413,0.01246996,0.00399943,0.00404810,0.00066870
Apatite,55.73913043,0.65946502,16987.78261000,0.00000000,0.00000000,0.01183128,0.13631687,195.23662550,0.00000000,0.00000000,33.95115842,0.82742267,4.87924528,44.21739130,0.01576059,0.00143381,0.00003243,0.00274073,0.44274575,0.00000000,0.53509018,0.00182292,0.00037361
Apatite,65535.00000000,0.19687712,65535.00000000,0.00000000,0.00000000,0.00000000,0.19687712,332.09775970,0.00000000,,144.72781070,0.79635308,4.51724138,,0.00381838,0.00000000,0.00000000,0.00166404,0.44008482,0.00000000,0.55262525,0.00147990,0.00032761
Apatite,0.50446429,0.29011553,232.22098210,0.00000000,0.00000000,0.57509628,0.29011553,133.35044930,0.00000000,0.00000000,670.19354840,0.74373315,2.09734513,0.00000000,0.00084597,0.00000000,0.00244514,0.00425170,0.42167110,0.00000000,0.56696558,0.00258704,0.00123348
Apatite,1.23611111,0.08745496,1846.48611100,0.00000000,0.00000000,0.07075008,0.06518179,129.87225680,0.00000000,0.00000000,169.37206320,0.80060530,5.82914573,0.31481482,0.00324698,0.00009432,0.00029959,0.00423453,0.44029144,0.00000000,0.54994820,0.00160893,0.00027601
Apatite,0.00000000,0.00000000,4262.72519100,0.00000000,0.00000000,0.06491576,0.00000000,275.71357780,0.00000000,0.00000000,274.48939320,0.82018009,65535.00000000,0.00000000,0.00199138,0.00000000,0.00012870,0.00198254,0.44832133,0.00000000,0.54661328,0.00096278,0.00000000
Apatite,1.21066388,1.19166452,48.07631992,0.00003262,0.00077791,0.98430666,0.03730383,45.08361204,0.00154361,0.00156822,20.14252874,0.81436887,4.01379310,1.17276529,0.02561966,0.01321327,0.01126676,0.01144639,0.42025072,0.00001767,0.51604468,0.00171387,0.00042699
